Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Industry Groups,CB Rank (Company)
Kapta Space,https://www.crunchbase.com/organization/kapta-space,"Manufacturing, Satellite Communication, Security","Seattle, Washington, United States",Kapta Space develops electrically steerable radar imaging equipment for space.,"Hardware, Manufacturing, Privacy and Security","33,104"
General Radar Corp.,https://www.crunchbase.com/organization/general-radar-corp,"Aerospace, Automotive, Sensor","Mountain View, California, United States",High resolution mm-wave radars for automotive,"Hardware, Science and Engineering, Transportation","33,152"
Opticyte,https://www.crunchbase.com/organization/opticyte,Medical Device,"Seattle, Washington, United States","Opticyte is transforming care for the leading causes of organ failure, including sepsis, with real-time measurements.",Health Care,"33,182"
Integrate,https://www.crunchbase.com/organization/integrate-space-corporation,"Hardware, Software","Usk, Washington, United States",Integrate is a program management platform for the world's most ambitious machines.,"Hardware, Software","33,409"
Ark Edge Space,https://www.crunchbase.com/organization/ark-edge-space,"Manufacturing, Satellite Communication, Software, Space Travel","Tokyo, Tokyo, Japan","Ark Edge Space is a manufacturing firm that offers microsatellite design, development, production, and operational services.","Hardware, Manufacturing, Software, Transportation","34,108"
Radar Therapeutics,https://www.crunchbase.com/organization/radar-therapeutics,"Medical, Therapeutics","Berkeley, California, United States","Radar Therapeutics pioneer in treatment modality, precision-expressed mRNA-based therapeutics.",Health Care,"34,421"
Novelda,https://www.crunchbase.com/organization/novelda-as,"Auto Insurance, Consumer Electronics, Electronics, Green Building, GreenTech, Semiconductor, Sensor, Smart Building, Smart Home","Oslo, Oslo, Norway",Novelda is a sensor company specializing in nanoscale wireless low-power ultra wideband technology for high resolution impulse radar.,"Consumer Electronics, Financial Services, Hardware, Real Estate, Science and Engineering, Sustainability","34,741"
NanoAvionics,https://www.crunchbase.com/organization/nanoavionics,"Aerospace, Communication Hardware, Consumer Electronics, Electronics, Hardware, Industrial Engineering, Internet of Things, Manufacturing, Satellite Communication","Columbia, Illinois, United States",NanoAvionics is a smallsat bus manufacturer and mission integrator that offers end-to-end small satellite solutions.,"Consumer Electronics, Hardware, Internet Services, Manufacturing, Science and Engineering","34,746"
Aura Intelligent Systems,https://www.crunchbase.com/organization/aura-intelligent-systems,"Internet of Things, Wireless","Boston, Massachusetts, United States",Aura Intelligent Systems develops mmWave imaging radar for mission-critical applications.,"Hardware, Internet Services, Mobile","34,975"
Bouncer,https://www.crunchbase.com/organization/bouncer-6134,"Artificial Intelligence (AI), E-Commerce Platforms, Information Technology, Machine Learning, Mobile Payments, Risk Management","Oakland, California, United States",Bouncer is an innovative fraud prevention technology company that built some of the highest performing machine learning counter-fraud tech,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Financial Services, Information Technology, Internet Services, Mobile, Payments, Professional Services, Science and Engineering, Software","36,037"
Cambrian Works,https://www.crunchbase.com/organization/cambrian-works,"Information Technology, Network Security, Software","Reston, Virginia, United States","Cambrian Works is a company that develops in-space mesh networking software, and network-enabled edge-computers and routers.","Information Technology, Privacy and Security, Software","36,648"
ThruWave,https://www.crunchbase.com/organization/thruwave,"3D Technology, GPU, Manufacturing, Robotics","Seattle, Washington, United States","ThruWave produces millimeter wave imaging technology designed for markets including robotics, construction, and quality control.","Hardware, Manufacturing, Science and Engineering, Software","36,993"
Kurs Orbital,https://www.crunchbase.com/organization/kurs-orbital,Aerospace,"Turin, Piemonte, Italy","Kurs Orbital enables satellite life extension and space debris removal missions, securing safe and sustainable orbits for generations.",Science and Engineering,"37,669"
Xavveo,https://www.crunchbase.com/organization/xavveo,"Automotive, Industrial Automation, Semiconductor","Berlin, Berlin, Germany",Xavveo is a developer of photonic radar sensor technology that aims to transform manufacturing automation and driverless cars.,"Hardware, Manufacturing, Science and Engineering, Transportation","38,383"
Top Aces,https://www.crunchbase.com/organization/top-aces,"Aerospace, Industrial, Training","Dorval, Quebec, Canada",Top Aces is an aviation company that provides air training and airborne mission support for military forces worldwide.,"Education, Manufacturing, Science and Engineering","38,598"
RedShift BioAnalytics,https://www.crunchbase.com/organization/redshift-systems,"Biotechnology, Electronics, Enterprise Software, Life Science, Manufacturing, Product Design","Burlington, Massachusetts, United States",RedShift BioAnalytics is a developer and manufacturer of bioanalytical tools for the life science market.,"Biotechnology, Consumer Electronics, Design, Hardware, Manufacturing, Science and Engineering, Software","38,858"
Cosmoserve Space,https://www.crunchbase.com/organization/cosmoserve-space,"Robotics, Software, Space Travel","Hyderabad, Andhra Pradesh, India",Cosmoserve Space is developing autonomous robotic spacecraft to mitigate the rapidly growing problem of orbital debris.,"Hardware, Science and Engineering, Software, Transportation","39,131"
PiLogic,https://www.crunchbase.com/organization/pilogic,"Aerospace, Analytics, Artificial Intelligence (AI)","Los Angeles, California, United States",PiLogic AI platform offers rapid analysis of radar data for real-time applications.,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","39,338"
AIKO - Infinite Ways to Autonomy,https://www.crunchbase.com/organization/aiko-intelligent-space-systems,"Aerospace, Artificial Intelligence (AI), Industrial Automation, Machine Learning, Software","Torino, Piemonte, Italy",AIKO develops and commercialize algorithms based on Artificial Intelligence to increase the autonomy of small satellite missions.,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software","39,382"
Auquan,https://www.crunchbase.com/organization/sunnovations,"Analytics, Artificial Intelligence (AI), Big Data, Finance, Financial Services, FinTech, Machine Learning, Software","London, England, United Kingdom",Revolutionizing financial intelligence with AI to surface unknown risks and opportunities.,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software","39,403"
Sigray,https://www.crunchbase.com/organization/sigray,"Health Care, Machinery Manufacturing, Manufacturing, Medical Device","Concord, California, United States","Sigray is a sceintific instrument manufacturing company that develops X-ray microscopes, optics and detector technologies.","Health Care, Manufacturing","40,303"
SetSchedule,https://www.crunchbase.com/organization/setschedule,"Big Data, Business Information Systems, Internet, Marketing Automation, Mobile Apps, Real Estate, SaaS, Virtual Assistant","Irvine, California, United States","SetSchedule is a technology company that focuses on SAAS, consumer cloud communication, and real estate information products.","Apps, Data and Analytics, Information Technology, Internet Services, Mobile, Real Estate, Sales and Marketing, Software","41,161"
PlanetIQ,https://www.crunchbase.com/organization/planetiq,"Aerospace, GPS, Information Technology","Golden, Colorado, United States",PlanetIQ utilizes commercial satellite constellation to provide weather data to inform on-the-ground decision making.,"Hardware, Information Technology, Navigation and Mapping, Science and Engineering","41,244"
Nasoni,https://www.crunchbase.com/organization/nasoni,"Assistive Technology, Consumer Electronics, Health Care, Home Health Care, Internet of Things, Smart Home, Wellness","Suffolk, Virginia, United States",Nasoni designs innovative smart products and solutions that make the bathroom the center of health and wellness.,"Consumer Electronics, Hardware, Health Care, Internet Services, Real Estate","41,692"
Sisir Radar,https://www.crunchbase.com/organization/sisir-radar,"Aerospace, Geospatial, Navigation, Space Travel","Kolkata, West Bengal, India",Sisir Radar is a space and defense technology startup specializing in advanced Synthetic Aperture Radar (SAR) systems.,"Data and Analytics, Navigation and Mapping, Science and Engineering, Transportation","41,705"
Zaitra,https://www.crunchbase.com/organization/zaitra,"Artificial Intelligence (AI), Satellite Communication, Space Travel","Brno, Jihomoravsky kraj, Czech Republic",Zaitra helps in reducing costs in data transmission along with spacecraft onboard and artificial intelligence services.,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation","42,018"
CAIRA Surgical,https://www.crunchbase.com/organization/caira-surgical,"Health Care, Medical Device, Productivity Tools, Software","New York, New York, United States",CAIRA Surgical is a medical software and technology company on a mission to reduce costs and improve patient outcomes in orthopedic care.,"Health Care, Software","42,391"
Bricklane,https://www.crunchbase.com/organization/bricklane-com,"Financial Services, PropTech, Real Estate Investment, Software","London, England, United Kingdom",Bricklane harnesses technology to make rental housing work better at scale,"Financial Services, Real Estate, Software","42,663"
Greenroads,https://www.crunchbase.com/organization/greenroads-5627,"Analytics, Big Data, Computer Vision, Environmental Consulting, Public Safety, Smart Cities, Transportation","Malta, Montana, United States","AI powered insights for safer, smarter cities","Data and Analytics, Government and Military, Hardware, Professional Services, Real Estate, Software, Transportation","42,685"
Enhanced Radar,https://www.crunchbase.com/organization/enhanced-radar,"Aerospace, Air Transportation, Artificial Intelligence (AI), Information Technology, Software","San Francisco, California, United States",Enhanced Radar is an Airlines and Aviation Technology firm offering AI for air traffic control.,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software, Transportation","43,138"
Oculii,https://www.crunchbase.com/organization/oculii,"Artificial Intelligence (AI), Automotive, Machine Learning, Sensor, Software","Dayton, Ohio, United States",Oculii develops AI Radar Perception Software that significantly enhances ADAS today and enables full autonomous driving in the future.,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation","43,211"
DeFli Networks,https://www.crunchbase.com/organization/defli-networks,"Aerospace, Cryptocurrency, Drone Management, Drones, Manufacturing, Military, Public Safety, Web3","New York, New York, United States",Infrastructure for Unmanned Airspace,"Blockchain and Cryptocurrency, Consumer Electronics, Consumer Goods, Financial Services, Government and Military, Hardware, Information Technology, Internet Services, Manufacturing, Payments, Science and Engineering, Software","43,790"
SciBase,https://www.crunchbase.com/organization/scibase,"Biotechnology, Health Care, Hospital, Medical, Medical Device","Stockholm, Stockholms Lan, Sweden",SciBase is a medical technology company that develops devices for detection of malignant melanoma.,"Biotechnology, Health Care, Science and Engineering","44,186"
Flightwave Aerospace Systems,https://www.crunchbase.com/organization/flightwave-aerospace-systems,"Aerospace, Data Collection and Labeling, Transportation","Santa Monica, California, United States",Flightwave Aerospace Systems designs and develops an aerial data collection in hard to reach places.,"Data and Analytics, Science and Engineering, Transportation","45,049"
Cedana,https://www.crunchbase.com/organization/cedana,"Artificial Intelligence (AI), Developer Tools, Software","New York, New York, United States","Cedana is VMWare for GPUs. We enable enterprises to orchestrate and operationalize intelligence precisely, reliably, and efficiently.","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","45,387"
Suzhou Xunxin Microelectronics,https://www.crunchbase.com/organization/suzhou-xunxin-microelectronics,"Electronics, Manufacturing, Semiconductor","Suzhou, Jiangsu, China","Xunxin Microelectronics integrates the design, research, development, and sales of integrated circuits and software and hardware systems.","Consumer Electronics, Hardware, Manufacturing, Science and Engineering","45,724"
Zeno Power,https://www.crunchbase.com/organization/zeno-power-systems,"Aerospace, Clean Energy, Nuclear","Washington, District of Columbia, United States","Zeno is developing next-generation radioisotope power systems that generate carbon-free, resilient power for decades.","Energy, Science and Engineering, Sustainability","46,116"
Gurucul,https://www.crunchbase.com/organization/gurucul,"Cloud Security, Cyber Security, Machine Learning, Predictive Analytics, Security, Software","El Segundo, California, United States","Gurucul provides Actionable Risk Intelligence™ to detect, prevent, and deter advanced internal and external threats and fraud.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Software","46,384"
Attolight,https://www.crunchbase.com/organization/attolight,"Medical, Medical Device, Nanotechnology","Lausanne, Vaud, Switzerland",Attolight produces time-resolved cathodoluminescence instruments to measure carrier dynamics in nanostructures.,"Health Care, Science and Engineering","46,517"
Letara,https://www.crunchbase.com/organization/letara,"Aerospace, Manufacturing, Satellite Communication","Sapporo, Hokkaido, Japan",Letara is an aerospace component manufacturing company that produces hybrid propulsion engines for small spacecraft.,"Hardware, Manufacturing, Science and Engineering","47,065"
Maxwell Technologies,https://www.crunchbase.com/organization/maxwell-technologies,"Automotive, Energy, Manufacturing, Renewable Energy","San Diego, California, United States",Maxwell Technologies manufacturing and marketing energy storage and power delivery solutions for automotive.,"Energy, Manufacturing, Sustainability, Transportation","48,595"
Basalt Tech,https://www.crunchbase.com/organization/basalt-tech,"Aerospace, Industrial Automation, Space Travel","San Francisco, California, United States",Basalt Tech is a spacecraft software company that helps to produce optimized instructions for fleets of spacecraft.,"Manufacturing, Science and Engineering, Transportation","49,374"
Skycorp Solar Group,https://www.crunchbase.com/organization/skycorp-solar-group,"Power Grid, Renewable Energy, Solar","Ningbo, Zhejiang, China","Skycorp Solar Group manufactures and distributes solar EPC products, batteries, photovoltaic cables, and energy storage systems.","Energy, Natural Resources, Sustainability","49,562"
InSpacePropulsion Technologies,https://www.crunchbase.com/organization/inspacepropulsion-technologies,Aerospace,"Lampoldshausen, Baden-Wurttemberg, Germany","ISPTech offers affordable, reliable and quickly available propulsion solution for any spacecraft",Science and Engineering,"50,680"
Moon Express,https://www.crunchbase.com/organization/moon-express-inc,"Aerospace, National Security, Space Travel","Cape Canaveral, Florida, United States","Moon Express develops a robotic spacecraft for low cost missions beyond the Earth, including the Moon, asteroids, and Mars.","Government and Military, Science and Engineering, Transportation","50,703"
York Space Systems,https://www.crunchbase.com/organization/york-space-systems-llc,"Aerospace, Manufacturing, Space Travel","Denver, Colorado, United States",York Space Systems is a designer and manufacturer of spacecraft bus platforms.,"Manufacturing, Science and Engineering, Transportation","51,211"
Soelect,https://www.crunchbase.com/organization/soelect,"Battery, Electric Vehicle, Industrial Engineering, Manufacturing","Greensboro, North Carolina, United States","Soelect provides engineering solutions and develops solid-state battery components for electric vehicles, power tools, and electronics.","Energy, Manufacturing, Science and Engineering, Transportation","51,722"
Radar Treasury,https://www.crunchbase.com/organization/radar-eea1,"Developer APIs, FinTech, Infrastructure, Payments","Mexico City, Distrito Federal, Mexico",Radar provides treasury management tools for Latam.,"Financial Services, Other, Payments, Software","52,326"
Sensative,https://www.crunchbase.com/organization/sensative-ab,"Artificial Intelligence (AI), Big Data, Cloud Data Services, Industrial Automation, Internet of Things, Machine Learning, Sensor, Smart Building, Smart Cities, Smart Home","Lund, Skane Lan, Sweden","Sensative powers digital sovereignty with a platform and sensors to connect, control, and scale smart infrastructure.","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Internet Services, Manufacturing, Real Estate, Science and Engineering, Software","53,655"
Interorbital Systems,https://www.crunchbase.com/organization/interorbital-systems,"Aerospace, Manufacturing","Mojave, California, United States","Interorbital Systems is a rocket, satellite, and spacecraft manufacturing company.","Manufacturing, Science and Engineering","53,804"
MARUT Drones,https://www.crunchbase.com/organization/marut-drones,"AgTech, Artificial Intelligence (AI), Drones, Information Technology, Machinery Manufacturing, Software","Hyderabad, Andhra Pradesh, India",MARUT Drones is a drone technology company that uses drones to enhance agricultural productivity and efficiency in farming practices.,"Agriculture and Farming, Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Information Technology, Manufacturing, Science and Engineering, Software","54,638"
Cytomos,https://www.crunchbase.com/organization/cytomos-ltd,"Biopharma, Biotechnology, Machine Learning, Medical","Edinburgh, Edinburgh, City of, United Kingdom","Cytomos develops and provides integrated, predictive analytics systems for intelligent bioprocessing in biopharma.","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","54,659"
WIDMO Spectral Technologies (formerly SGPR.TECH),https://www.crunchbase.com/organization/sgpr-tech,"Civil Engineering, Construction, Electronics, Enterprise Applications, Hardware, Mining Technology, Software","Kraków, Malopolskie, Poland",Unique solution for subsurface tomography build to deliver geological information of unprecedented quality.,"Apps, Consumer Electronics, Hardware, Natural Resources, Real Estate, Science and Engineering, Software","54,764"
Qosmosys,https://www.crunchbase.com/organization/qosmosys,"Aerospace, Air Transportation","Singapore, Central Region, Singapore",Qosmosys is committed to making sound technical decisions to ensure the durability.,"Science and Engineering, Transportation","55,759"
IRUBIS,https://www.crunchbase.com/organization/irubis-specializes-in-spectroscopy-for-bioprocessing-and-also-provides-biotechnology-solutions,"Biotechnology, Product Research","München, Bayern, Germany",IRUBIS offers bioprocessing and infrared spectroscopy services.,"Biotechnology, Data and Analytics, Design, Science and Engineering","56,628"
OneThird,https://www.crunchbase.com/organization/onethird-8dd0,"Information Services, Information Technology, Waste Management","Enschede, Overijssel, The Netherlands",OneThird is a food tech startup preventing food loss and food waste.,"Information Technology, Sustainability","56,803"
mPrest,https://www.crunchbase.com/organization/mprest,"Industrial Automation, Information Technology, Internet of Things, Medical, Security, Smart Cities, Software, Telecommunications","Petah Tiqva, HaMerkaz, Israel",mPrest Systems is a software company specialized in developing high performance critical systems.,"Hardware, Health Care, Information Technology, Internet Services, Manufacturing, Privacy and Security, Real Estate, Science and Engineering, Software","56,878"
ION-X,https://www.crunchbase.com/organization/ion-x,"Aerospace, Manufacturing","Boulogne-billancourt, Ile-de-France, France",ION-X is the developer of a technology that provides the most efficient propulsion for small spacecraft.,"Manufacturing, Science and Engineering","57,322"
NoPo Nanotechnologies,https://www.crunchbase.com/organization/nopo-nanotechnologies-india-private-limited,"Advanced Materials, Nanotechnology, Space Travel","Bangalore, Karnataka, India","Space, Carbon Nanotubes, Advanced Material","Manufacturing, Science and Engineering, Transportation","57,431"
SpaceIL,https://www.crunchbase.com/organization/spaceil,"Non Profit, Public Relations, Space Travel, Travel","Tel Aviv, Tel Aviv, Israel","SpaceIL, a $100M Israeli non-profit that attempted to land the first private interplanetary robotic mission on the Moon on April, 2019","Other, Sales and Marketing, Social Impact, Transportation, Travel and Tourism","57,990"
Inxpect,https://www.crunchbase.com/organization/inxpect,"Security, Sensor","Brescia, Lombardia, Italy","Inxpect provides radio based sensing technology for home automation, security and industrial safety.","Hardware, Privacy and Security","58,727"
Mission Control Space Services Inc.,https://www.crunchbase.com/organization/mission-control-space-services-inc,"Aerospace, Artificial Intelligence (AI), Machine Learning, Robotics","Ottawa, Ontario, Canada","Space Exploration & Robotics: Spacecraft Operations, Onboard Autonomy, Artificial Intelligence","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","60,271"
Zhenghe Microchip,https://www.crunchbase.com/organization/zhenghe-microchip,"Electronics, Information Technology, Internet of Things, Machine Learning, Sensor","Zhuhai, Guangdong, China",Zhenghe Microchip offers smart sensors for industrial electronics and vehicle electronics.,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Internet Services, Software","60,381"
Edge AI,https://www.crunchbase.com/organization/edge-ai,"Artificial Intelligence (AI), Construction, Internet of Things","Pittsburgh, Pennsylvania, United States",Edge AI offers a platform that utilizes artificial intelligence to innovate designs intended to transform ideas.,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Real Estate, Science and Engineering, Software","60,829"
One Space,https://www.crunchbase.com/organization/one-space,"Commercial, Commercial Real Estate, Real Estate","Beijing, Beijing, China",One Space is a commercial space company that provides launch services for satellites and spacecraft.,"Other, Real Estate","61,254"
Tron Future,https://www.crunchbase.com/organization/創未來科技股份有限公司,,"Hsinchu, T'ai-wan, Taiwan","Tron Future Tech builds radar-based anti-drone systems with detection, jamming, and AI control for defense and infrastructure use.",,"61,402"
iViation,https://www.crunchbase.com/organization/iviation,"Air Transportation, Industrial","Rottenburg, Baden-Wurttemberg, Germany",IViation builds autonomous cargo aircraft with certification tech for parcel and parts delivery.,"Manufacturing, Transportation","62,653"
Femtum,https://www.crunchbase.com/organization/femtum,"Laser, Manufacturing","Quebec, Quebec, Canada","Femtum provides mid-infrared pulsed fibre lasers, fibre amplifiers, and tunable lasers for medical and industrial use.","Hardware, Manufacturing, Science and Engineering","62,706"
Annaida Technologies,https://www.crunchbase.com/organization/annaida-technologies,"Fertility, Hardware, Health Care, Information Technology, Life Science","Lausanne, Vaud, Switzerland","Annaida Technologies has developed a groundbreaking device, EmbryoSpin, that performs microscopic Nuclear Magnetic Resonance.","Biotechnology, Hardware, Health Care, Information Technology, Science and Engineering","63,542"
Pix Force,https://www.crunchbase.com/organization/pixforce,"Artificial Intelligence (AI), Computer Vision, Machine Learning, Software","Porto Alegre, Rio Grande do Sul, Brazil",Pix Force develops solutions in A.I. and Computer Vision. We provide valuable data to our clients through automatic interpretation of images,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","63,664"
Lambdai Space,https://www.crunchbase.com/organization/lambdai-space,Artificial Intelligence (AI),"Singapore, Central Region, Singapore","We have a deeptech focus on Artificial intelligence, Advance Radar Satellite data","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","64,444"
Acconeer,https://www.crunchbase.com/organization/acconeer,"Online Portals, Semiconductor, Sensor","Lund, Skane Lan, Sweden",Acconeer is a high tech startup that develops sensors for next generation portable devices.,"Hardware, Internet Services, Science and Engineering","64,520"
MIRICO,https://www.crunchbase.com/organization/mirico,"Agriculture, Electronics, Information Technology, Laser, Machinery Manufacturing, Oil and Gas","Didcot, Oxfordshire, United Kingdom",Transformational gas measurement,"Agriculture and Farming, Consumer Electronics, Energy, Hardware, Information Technology, Manufacturing, Natural Resources, Science and Engineering","64,957"
Sedimentum AG,https://www.crunchbase.com/organization/sedimentum-ag,"Assistive Technology, Elder Care, Health Care, Software","Cham, Zug, Switzerland",Manufacturer of radar-based motion devices,"Health Care, Software","65,451"
GRAPHENEST,https://www.crunchbase.com/organization/graphenium---advanced-nanotechnology,"Advanced Materials, Automotive, CleanTech, Electronics, Industrial, Manufacturing, Nanotechnology, Sustainability","Sever Do Vouga, Aveiro, Portugal",Graphenest protect electronics and automotive from electromagnetic interference with sustainable graphene-based coatings and plastics,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Sustainability, Transportation","65,600"
RespiQ,https://www.crunchbase.com/organization/respiq-life-technologies,"Biotechnology, Medical Device","Leiden, Zuid-Holland, The Netherlands",Breath diagnostics for insights into your health,"Biotechnology, Health Care, Science and Engineering","66,171"
PredaSAR,https://www.crunchbase.com/organization/predasar,"Information and Communications Technology (ICT), Nanotechnology, Satellite Communication","Boca Raton, Florida, United States",PredaSAR is an emerging nanosatellite data provider building that develops SAR satellite constellation.,"Hardware, Information Technology, Science and Engineering","66,604"
Mayman Aerospace,https://www.crunchbase.com/organization/mayman-aerospace,"Aerospace, Autonomous Vehicles, Government, Military","Long Beach, California, United States","Mayman Aerospace develops dual-use VTOL aircraft, focusing on the RAZOR for civilian and military applications.","Government and Military, Information Technology, Science and Engineering, Transportation","67,140"
SmallSpark,https://www.crunchbase.com/organization/smallspark-space-systems,"Artificial Intelligence (AI), Cloud Computing, Enterprise Software, Machine Learning, Software","Cardiff, Cardiff, United Kingdom","SmallSpark enables companies to build, operate and manage energy efficient, low -latency edge-based machine learning models","Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","67,630"
Mailprotector,https://www.crunchbase.com/organization/mailprotector,"Email, Information Technology, Internet, Software","Greenville, South Carolina, United States","Email security, encrypted email & file transfer, anti-spam, anti-phishing, email continuity, email archiving & business-class hosted email.","Information Technology, Internet Services, Messaging and Telecommunications, Software","67,981"
Uhnder,https://www.crunchbase.com/organization/uhnder,"Apps, Automotive, Autonomous Vehicles, Internet of Things, Semiconductor","Austin, Texas, United States",Uhnder develops a digital automotive radar-on-chip designed to automate systems for safety and better feedback response.,"Apps, Hardware, Internet Services, Science and Engineering, Software, Transportation","68,379"
xiris,https://www.crunchbase.com/organization/xiris,"Artificial Intelligence (AI), Computer Vision, Machine Learning, Security, Software","New York, New York, United States",Real-time video surveillance software monitored by AI 24/7.,"Artificial Intelligence (AI), Data and Analytics, Hardware, Privacy and Security, Science and Engineering, Software","69,115"
OPUS Aerospace,https://www.crunchbase.com/organization/opus-aerospace,"Aerospace, Manufacturing, Space Travel","Saulx-les-chartreux, Ile-de-France, France","OPUS Aerospace designs, develops and manufactures launchers and spacecraft to accelerate space exploration.","Manufacturing, Science and Engineering, Transportation","69,510"
Chuangrui Spectrum,https://www.crunchbase.com/organization/chuangrui-spectrum,"Manufacturing, Product Research, Semiconductor","Dalian Shi, Liaoning, China",Chuangrui Spectrum is a manufacturer of precision spectroscopic instruments and semiconductor testing equipment.,"Data and Analytics, Design, Hardware, Manufacturing, Science and Engineering","69,514"
Chuhang Tech,https://www.crunchbase.com/organization/chuhang-tech,Automotive,"Nanjing, Jiangsu, China",Chuhang Tech is a technology company focusing on millimeter wave radars and advanced driver assistance systems.,Transportation,"69,722"
TeraView,https://www.crunchbase.com/organization/teraview,"Manufacturing, Product Design, Semiconductor","Cambridge, Cambridgeshire, United Kingdom","TeraView develops terahertz instruments which can generate, detect and manipulate radiation to characterize a wide range of materials.","Design, Hardware, Manufacturing, Science and Engineering","70,036"
Aerojet Rocketdyne,https://www.crunchbase.com/organization/aerojet-rocketdyne-holdings,"Aerospace, Industrial, Manufacturing","El Segundo, California, United States",Aerojet Rocketdyne is a developer and manufacturer of advanced propulsion and energetics systems.,"Manufacturing, Science and Engineering","70,512"
Orbital Eye,https://www.crunchbase.com/organization/orbital-eye,"Environmental Consulting, Environmental Engineering, Industrial, Information Services","Delft, Zuid-Holland, The Netherlands","Orbital Eye is an infrastructure management company that monitors and inspects transmission pipelines, roads, railways, and powerlines.","Information Technology, Manufacturing, Professional Services, Science and Engineering, Sustainability","70,944"
Sagetech,https://www.crunchbase.com/organization/sagetech-corporation,"Aerospace, Drones, Manufacturing","Washington, District of Columbia, United States",Sagetech is an aviation & aerospace company offering engineering and designing services.,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Science and Engineering","72,075"
SSL,https://www.crunchbase.com/organization/space-systems-loral,"Broadcasting, Manufacturing, Space Travel","Palo Alto, California, United States",Space Systems/Loral provides geostationary commercial satellites.,"Manufacturing, Media and Entertainment, Transportation, Video","72,199"
Traverser,https://www.crunchbase.com/organization/traverser,"Aerospace, Space Travel","Beijing, Beijing, China",Traverser is a commercial manned aerospace technology company .,"Science and Engineering, Transportation","72,348"
Sapper Intelligence,https://www.crunchbase.com/organization/sapper-intelligence,"Aerospace, Artificial Intelligence (AI), Generative AI","Berlin, Berlin, Germany",Sapper Intelligence specializes in AI radar signal recognition and sensor fusion to find large hidden objects beneath soil and vegetation.,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","72,364"
ChengTech,https://www.crunchbase.com/organization/chengtai-technology,"Automotive, Wireless","Shenzhen, Guangdong, China",ChengTech is a smart car radar R&D company,"Hardware, Mobile, Transportation","72,637"
Applied Spectra,https://www.crunchbase.com/organization/applied-spectra,"Laser, Product Research","West Sacramento, California, United States","Applied Spectra, Inc. provides laser ablation (LA) and laser induced breakdown spectroscopy (LIBS) instruments for isotopic analysis.","Data and Analytics, Design, Hardware, Science and Engineering","72,813"
Radar Relay,https://www.crunchbase.com/organization/radar-relay-e55e,Internet,"Walnut, California, United States",Radar Relay is a peer-to-peer trading platform for Ethereum-based tokens built on the 0x protocol.,Internet Services,"72,835"
Canqin Technology,https://www.crunchbase.com/organization/canqin-technology,"Communications Infrastructure, Electronics, Manufacturing, Telecommunications","Nanjing, Jiangsu, China",Canqin Technology is a producer and supplier of microwave dielectric ceramic components.,"Consumer Electronics, Hardware, Manufacturing","73,150"
Altos Radar,https://www.crunchbase.com/organization/altos-radar,"Automotive, Autonomous Vehicles","Los Altos, California, United States",Altos Radar accelerate the development and implementation of 4D Imaging Radar technology.,Transportation,"73,521"
Viqthor,https://www.crunchbase.com/organization/viqthor,"Information Technology, Quantum Computing","Saint-germain-en-laye, Ile-de-France, France","Viqthor specializes in cutting-edge technology at the intersection of RF, microwaves, photonics, and quantum physics.","Information Technology, Science and Engineering","73,636"
MantiSpectra,https://www.crunchbase.com/organization/mantispectra,"AgTech, Artificial Intelligence (AI), Manufacturing, Product Design, Semiconductor","Eindhoven, Noord-Brabant, The Netherlands",MantiSpectra designs and develops novel spectral sensing components for consumer and industrial products.,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Manufacturing, Science and Engineering, Software","74,182"
Arralis,https://www.crunchbase.com/organization/arralis,"Aerospace, Satellite Communication","Limerick, Limerick, Ireland","Arralis is ccelerating the worldwide transition to millimetre-wave technology, the future of vision, and wireless communications.","Hardware, Science and Engineering","74,367"
